,Organic Phase Initial Conditions,,,,,,,Aqueous Phase Initial Conditions,,,,External Conditions,Results,Log_D
10,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Er(III),0.01,HNO3,4.3,295.15,1.26038293,0.100502513
11,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tm(III),0.01,HNO3,4.3,295.15,1.059560179,0.025125628
12,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Yb(III),0.01,HNO3,4.3,295.15,0.860346442,-0.065326633
13,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Lu(III),0.01,HNO3,4.3,295.15,0.659318827,-0.180904523
14,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,La(III),0.01,HNO3,4.3,295.15,1.162322469,0.065326633
15,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ce(III),0.01,HNO3,4.3,295.15,4.297004704,0.633165829
16,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Pr(III),0.01,HNO3,4.3,295.15,8.119844993,0.909547739
17,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Nd(III),0.01,HNO3,4.3,295.15,13.50993521,1.130653266
18,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Sm(III),0.01,HNO3,4.3,295.15,37.83462617,1.577889447
19,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Eu(III),0.01,HNO3,4.3,295.15,51.70920243,1.713567839
20,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Gd(III),0.01,HNO3,4.3,295.15,53.53566677,1.728643216
21,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tb(III),0.01,HNO3,4.3,295.15,87.03591361,1.939698492
22,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Dy(III),0.01,HNO3,4.3,295.15,109.6985798,2.040201005
23,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ho(III),0.01,HNO3,4.3,295.15,123.1550603,2.090452261
24,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Er(III),0.01,HNO3,4.3,295.15,104.7370898,2.020100503
25,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tm(III),0.01,HNO3,4.3,295.15,84.06652886,1.924623116
26,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Yb(III),0.01,HNO3,4.3,295.15,60.10276782,1.778894472
27,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Lu(III),0.01,HNO3,4.3,295.15,32.550886,1.512562814
28,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,La(III),0.007,HNO3,4,296.15,5.558031365,0.744920993
29,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Ce(III),0.007,HNO3,4,296.15,6.913995931,0.83972912
30,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Pr(III),0.007,HNO3,4,296.15,8.600768258,0.934537246
31,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Nd(III),0.007,HNO3,4,296.15,11.50662822,1.060948081
32,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Sm(III),0.007,HNO3,4,296.15,36.86306331,1.566591422
33,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Eu(III),0.007,HNO3,4,296.15,65.98011871,1.819413093
34,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Gd(III),0.006,HNO3,4,296.15,72.26308173,1.858916479
35,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Tb(III),0.006,HNO3,4,296.15,211.376369,2.325056433
36,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Dy(III),0.006,HNO3,4,296.15,378.3363798,2.577878104
37,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Ho(III),0.006,HNO3,4,296.15,641.2062438,2.806997743
38,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Er(III),0.006,HNO3,4,296.15,922.5954038,2.965011287
39,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Tm(III),0.006,HNO3,4,296.15,1067.128464,3.028216704
40,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Yb(III),0.006,HNO3,4,296.15,1126.986558,3.051918736
41,1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Lu(III),0.006,HNO3,4,296.15,1147.676299,3.059819413
42,1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,0.998761763,303.15,0.02537611,-1.595574948
43,1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,1.999669804,303.15,0.065026282,-1.186911074
44,1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,3.000577844,303.15,0.302927316,-0.518661564
45,1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,3.996326564,303.15,0.421877832,-0.374813294
46,1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,4.997234605,303.15,0.580478521,-0.236213846
47,1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,5.998142645,303.15,0.818379554,-0.087045229
48,1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,0.998761763,303.15,0.065026282,-1.186911074
49,1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,1.999669804,303.15,0.02537611,-1.595574948
50,1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,3.000577844,303.15,0.223626971,-0.650475818
51,1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,4.001485884,303.15,0.38222766,-0.417677888
52,1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,5.002393924,303.15,0.501178177,-0.300007848
53,1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,5.998142645,303.15,0.540828349,-0.266940552
54,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,0.498550725,298.15,0.023865898,-1.622222222
55,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,0.997101449,298.15,0.241731548,-0.616666667
56,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,2,298.15,0.630957344,-0.2
57,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,2.997101449,298.15,0.879922544,-0.055555556
58,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,3.994202899,298.15,0.836030694,-0.077777778
59,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,4.997101449,298.15,0.814912747,-0.088888889
60,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,5.994202899,298.15,0.774263683,-0.111111111
61,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,0.498550725,298.15,0.086873814,-1.061111111
62,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,0.997101449,298.15,0.435400465,-0.361111111
63,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,1.994202899,298.15,1.196128333,0.077777778
64,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,2.997101449,298.15,1.525222957,0.183333333
65,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,3.994202899,298.15,1.412537545,0.15
66,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,4.997101449,298.15,1.376857165,0.138888889
67,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,5.994202899,298.15,1.376857165,0.138888889
68,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,0.498550725,298.15,0.164689787,-0.783333333
69,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,1.002898551,298.15,0.555193591,-0.255555556
70,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,1.994202899,298.15,1.995262315,0.3
71,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,2.997101449,298.15,2.966348839,0.472222222
72,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,3.994202899,298.15,2.891419537,0.461111111
73,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,4.997101449,298.15,2.818382931,0.45
74,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,5.994202899,298.15,2.782559402,0.444444444
75,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,0.498550725,298.15,0.261015722,-0.583333333
76,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,1.002898551,298.15,0.794328235,-0.1
77,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,2,298.15,2.712272579,0.433333333
78,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,2.997101449,298.15,4.761872663,0.677777778
79,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,3.994202899,298.15,4.410059454,0.644444444
80,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,4.997101449,298.15,4.032325252,0.605555556
81,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,5.994202899,298.15,3.981071706,0.6
82,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,0.498550725,298.15,0.938041867,-0.027777778
83,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,1.002898551,298.15,2.966348839,0.472222222
84,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,1.994202899,298.15,18.71639586,1.272222222
85,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,2.997101449,298.15,32.44226079,1.511111111
86,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,3.994202899,298.15,28.18382931,1.45
87,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,4.997101449,298.15,27.12272579,1.433333333
88,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,5.994202899,298.15,26.43761186,1.422222222
89,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,0.504347826,298.15,2.046968272,0.311111111
90,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,0.997101449,298.15,6.556418494,0.816666667
91,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,1.988405797,298.15,31.6227766,1.5
92,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,2.991304348,298.15,50.11872336,1.7
93,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,3.994202899,298.15,59.94842503,1.777777778
94,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,4.997101449,298.15,56.95810811,1.755555556
95,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,5.994202899,298.15,51.41751828,1.711111111
96,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,0.504347826,298.15,2.046968272,0.311111111
97,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,1.002898551,298.15,7.547059567,0.877777778
98,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,2,298.15,47.01346082,1.672222222
99,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,2.997101449,298.15,77.42636827,1.888888889
100,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,3.994202899,298.15,96.23506264,1.983333333
101,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,4.997101449,298.15,71.7060097,1.855555556
102,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,5.994202899,298.15,72.62917502,1.861111111
103,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,0.498550725,298.15,4.948168092,0.694444444
104,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,1.002898551,298.15,22.67543126,1.355555556
105,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,2,298.15,101.2874309,2.005555556
106,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,2.997101449,298.15,162.5964694,2.211111111
107,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,3.994202899,298.15,156.4748142,2.194444444
108,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,4.991304348,298.15,150.5836354,2.177777778
109,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,5.994202899,298.15,150.5836354,2.177777778
110,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,0.498550725,298.15,5.011872336,0.7
111,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,1.002898551,298.15,23.26305067,1.366666667
112,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,1.994202899,298.15,152.5222957,2.183333333
113,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,2.997101449,298.15,221.0265498,2.344444444
114,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,3.994202899,298.15,527.4997064,2.722222222
115,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,4.997101449,298.15,527.4997064,2.722222222
116,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,5.994202899,298.15,488.5273572,2.688888889
117,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,0.498550725,298.15,15.05836354,1.177777778
118,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,0.997101449,298.15,86.87381405,1.938888889
119,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,2,298.15,441.0059454,2.644444444
120,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,2.997101449,298.15,576.9140438,2.761111111
121,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,3.994202899,298.15,891.2509381,2.95
122,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,4.997101449,298.15,868.7381405,2.938888889
123,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,5.994202899,298.15,857.6958986,2.933333333
124,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,0.492753623,298.15,9.747402256,0.988888889
125,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,0.997101449,298.15,50.11872336,1.7
126,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,1.994202899,298.15,441.0059454,2.644444444
127,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,2.997101449,298.15,938.0418666,2.972222222
128,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,3.994202899,298.15,1544.859148,3.188888889
129,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,4.991304348,298.15,1486.696169,3.172222222
130,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,5.988405797,298.15,1449.142559,3.161111111
131,1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,0.498550725,298.15,10,1
