Extractants_count,SMILES_canonical,Extractant_conc_M,Solvent_A,Solvent_B,Volume_fraction_A,Volume_fraction_B,Metal,Metal_conc_mM,Acid_type,Acid_conc_M,Temperature_K,,Log_D
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Er(III),0.01,HNO3,4.3,295.15,,2.020100503
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tm(III),0.01,HNO3,4.3,295.15,,1.924623116
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Yb(III),0.01,HNO3,4.3,295.15,,1.778894472
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Lu(III),0.01,HNO3,4.3,295.15,,1.512562814
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,La(III),0.007,HNO3,4,296.15,,0.744920993
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Ce(III),0.007,HNO3,4,296.15,,0.83972912
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Pr(III),0.007,HNO3,4,296.15,,0.934537246
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Nd(III),0.007,HNO3,4,296.15,,1.060948081
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Sm(III),0.007,HNO3,4,296.15,,1.566591422
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Eu(III),0.007,HNO3,4,296.15,,1.819413093
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Gd(III),0.006,HNO3,4,296.15,,1.858916479
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Tb(III),0.006,HNO3,4,296.15,,2.325056433
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Dy(III),0.006,HNO3,4,296.15,,2.577878104
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Ho(III),0.006,HNO3,4,296.15,,2.806997743
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Er(III),0.006,HNO3,4,296.15,,2.965011287
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Tm(III),0.006,HNO3,4,296.15,,3.028216704
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Yb(III),0.006,HNO3,4,296.15,,3.051918736
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.2,chloroform,,1,0,Lu(III),0.006,HNO3,4,296.15,,3.059819413
1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,0.998761763,303.15,,-1.595574948
1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,1.999669804,303.15,,-1.186911074
1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,3.000577844,303.15,,-0.518661564
1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,3.996326564,303.15,,-0.374813294
1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,4.997234605,303.15,,-0.236213846
1,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,5.998142645,303.15,,-0.087045229
1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,0.998761763,303.15,,-1.186911074
1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,1.999669804,303.15,,-1.595574948
1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,3.000577844,303.15,,-0.650475818
1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,4.001485884,303.15,,-0.417677888
1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,5.002393924,303.15,,-0.300007848
1,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0.008,1-dodecanol,,1,0,Eu(III),1,HNO3,5.998142645,303.15,,-0.266940552
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,0.498550725,298.15,,-1.622222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,0.997101449,298.15,,-0.616666667
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,2,298.15,,-0.2
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,2.997101449,298.15,,-0.055555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,3.994202899,298.15,,-0.077777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,4.997101449,298.15,,-0.088888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,La(III),3,HNO3,5.994202899,298.15,,-0.111111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,0.498550725,298.15,,-1.061111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,0.997101449,298.15,,-0.361111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,1.994202899,298.15,,0.077777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,2.997101449,298.15,,0.183333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,3.994202899,298.15,,0.15
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,4.997101449,298.15,,0.138888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ce(III),3,HNO3,5.994202899,298.15,,0.138888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,0.498550725,298.15,,-0.783333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,1.002898551,298.15,,-0.255555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,1.994202899,298.15,,0.3
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,2.997101449,298.15,,0.472222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,3.994202899,298.15,,0.461111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,4.997101449,298.15,,0.45
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Pr(III),3,HNO3,5.994202899,298.15,,0.444444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,0.498550725,298.15,,-0.583333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,1.002898551,298.15,,-0.1
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,2,298.15,,0.433333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,2.997101449,298.15,,0.677777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,3.994202899,298.15,,0.644444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,4.997101449,298.15,,0.605555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Nd(III),3,HNO3,5.994202899,298.15,,0.6
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,0.498550725,298.15,,-0.027777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,1.002898551,298.15,,0.472222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,1.994202899,298.15,,1.272222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,2.997101449,298.15,,1.511111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,3.994202899,298.15,,1.45
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,4.997101449,298.15,,1.433333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Sm(III),3,HNO3,5.994202899,298.15,,1.422222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,0.504347826,298.15,,0.311111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,0.997101449,298.15,,0.816666667
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,1.988405797,298.15,,1.5
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,2.991304348,298.15,,1.7
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,3.994202899,298.15,,1.777777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,4.997101449,298.15,,1.755555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Eu(III),3,HNO3,5.994202899,298.15,,1.711111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,0.504347826,298.15,,0.311111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,1.002898551,298.15,,0.877777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,2,298.15,,1.672222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,2.997101449,298.15,,1.888888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,3.994202899,298.15,,1.983333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,4.997101449,298.15,,1.855555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Gd(III),3,HNO3,5.994202899,298.15,,1.861111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,0.498550725,298.15,,0.694444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,1.002898551,298.15,,1.355555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,2,298.15,,2.005555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,2.997101449,298.15,,2.211111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,3.994202899,298.15,,2.194444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,4.991304348,298.15,,2.177777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tb(III),3,HNO3,5.994202899,298.15,,2.177777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,0.498550725,298.15,,0.7
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,1.002898551,298.15,,1.366666667
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,1.994202899,298.15,,2.183333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,2.997101449,298.15,,2.344444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,3.994202899,298.15,,2.722222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,4.997101449,298.15,,2.722222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Dy(III),3,HNO3,5.994202899,298.15,,2.688888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,0.498550725,298.15,,1.177777778
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,0.997101449,298.15,,1.938888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,2,298.15,,2.644444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,2.997101449,298.15,,2.761111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,3.994202899,298.15,,2.95
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,4.997101449,298.15,,2.938888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Ho(III),3,HNO3,5.994202899,298.15,,2.933333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,0.492753623,298.15,,0.988888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,0.997101449,298.15,,1.7
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,1.994202899,298.15,,2.644444444
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,2.997101449,298.15,,2.972222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,3.994202899,298.15,,3.188888889
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,4.991304348,298.15,,3.172222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Er(III),3,HNO3,5.988405797,298.15,,3.161111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,0.498550725,298.15,,1
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,1.002898551,298.15,,1.866666667
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,1.994202899,298.15,,2.783333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,2.991304348,298.15,,3.016666667
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,3.994202899,298.15,,3.122222222
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,4.991304348,298.15,,3.111111111
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Tm(III),3,HNO3,5.988405797,298.15,,3.1
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Yb(III),3,HNO3,0.492753623,298.15,,1.005555556
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Yb(III),3,HNO3,1.002898551,298.15,,1.833333333
1,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.024,kerosene,1-octanol,0.6,0.4,Yb(III),3,HNO3,2,298.15,,2.722222222
